Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
05/10/2025,Hyundai Kona 2.0 AT Đặc biệt 2019,2019,Trong nước,Nam Từ Liêm - Hà Nội,SUV,80.000 km,Số tự động,Xe cũ,Máy xăng,450 triệu
15/10/2025,Mercedes-Benz E200 Exclusive 2022,2022,Trong nước,Tp.HCM,Sedan,26.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 650 triệu
24/09/2025,Hyundai Accent 1.4 MT Tiêu chuẩn 2022,2022,Trong nước,Tân An - Long An,Sedan,130.000 km,Số sàn,Xe cũ,Máy xăng,325 triệu
14/10/2025,Mitsubishi Xpander AT Premium 2022,2022,Trong nước,Chí Linh - Hải Dương,SUV,83.000 km,Số tự động,Xe cũ,Máy xăng,515 triệu
13/10/2025,Toyota Corolla Cross 1.8 V  2023,2023,Trong nước,An Dương - Hải Phòng,SUV,43.000 km,Số tự động,Xe cũ,Máy xăng,700 triệu
14/10/2025,Mitsubishi Triton GLX 2025,2025,Nhập khẩu,Cầu Giấy - Hà Nội,Bán tải,1.000 km,Số tự động,Xe cũ,Máy dầu,615 triệu
23/09/2025,Hyundai Tucson 1.6 Turbo HTRAC 2024,2024,Trong nước,Tân An - Long An,SUV,32.000 km,Số tự động,Xe cũ,Máy xăng,919 triệu
14/10/2025,Lexus GX 460 2016,2016,Nhập khẩu,Gò Vấp - Tp.HCM,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 350 triệu
15/10/2025,Hyundai Accent 1.4 AT 2022,2022,Trong nước,Cầu Giấy - Hà Nội,Sedan,48.000 km,Số tự động,Xe cũ,Máy xăng,415 triệu
11/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2024,2024,Trong nước,Cầu Giấy - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 299 triệu
08/10/2025,Honda HR-V G 2023,2023,Nhập khẩu,Thủ Đức - Tp.HCM,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,645 triệu
09/10/2025,Mazda 3 1.6 AT 2015,2015,Trong nước,Bình Dương,Sedan,55.000 km,Số tự động,Xe cũ,Máy xăng,370 triệu
14/10/2025,Mazda CX-5 2.0 AWD 2014,2014,Trong nước,Chí Linh - Hải Dương,SUV,110.000 km,Số tự động,Xe cũ,Máy xăng,430 triệu
06/10/2025,Hyundai Elantra 1.6 AT Đặc biệt 2023,2023,Trong nước,Dĩ An - Bình Dương,Sedan,39.000 km,Số tự động,Xe cũ,Máy xăng,539 triệu
23/09/2025,Toyota Fortuner 2022,2022,Trong nước,Tân An - Long An,,56.000 km,Số tự động,Xe cũ,Máy xăng,910 triệu
12/10/2025,Toyota Vios 2018,2018,Nhập khẩu,Tp.HCM,Sedan,200.000 km,Số sàn,Xe cũ,Máy xăng,290 triệu
05/10/2025,Mazda 2 1.5AT 2025,2025,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,6.000 km,Số tự động,Xe cũ,Máy xăng,432 triệu
24/09/2025,VinFast VF 3 2024,2024,Trong nước,Tân An - Long An,Hatchback,22.000 km,Số tự động,Xe cũ,Điện,225 triệu
23/09/2025,Kia Cerato 1.6 MT 2021,2021,Trong nước,Tân An - Long An,Sedan,50.000 km,Số sàn,Xe cũ,Máy xăng,439 triệu
25/09/2025,Mercedes-Benz C200 2015,2015,Trong nước,Thủ Đức - Tp.HCM,Sedan,60.000 km,Số tự động,Xe cũ,Máy xăng,575 triệu
08/10/2025,Mercedes-Benz C250 Exclusive 2017,2017,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,56.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ
11/10/2025,Kia Sportage 2.0G Luxury 2024,2024,Trong nước,Tân An - Long An,SUV,10.000 km,Số tự động,Xe cũ,Máy xăng,895 triệu
14/10/2025,Toyota Vios 1.5 E CVT 2017,2017,Trong nước,Chí Linh - Hải Dương,Sedan,100.000 km,Số tự động,Xe cũ,Máy xăng,300 triệu
29/09/2025,Toyota Camry 2.5Q 2022,2022,Nhập khẩu,Tân An - Long An,Sedan,14.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 179 triệu
15/10/2025,Kia Cerato 1.6 AT Hatchback 2016,2016,Nhập khẩu,Hà Nội,Hatchback,76.000 km,Số tự động,Xe cũ,Máy xăng,385 triệu
09/10/2025,Ford EcoSport Ambiente 1.5L AT 2015,2015,Trong nước,Long Biên - Hà Nội,SUV,80.000 km,Số tự động,Xe cũ,Máy xăng,260 triệu
08/10/2025,Chevrolet Spark 1.0 at 2012,2012,Nhập khẩu,Hà Nội,Hatchback,15.000 km,Số tự động,Xe cũ,Máy xăng,110 triệu
11/10/2025,Ford Everest 2007,2007,Trong nước,Lâm Đồng,SUV,170.000 km,Số tự động,Xe cũ,Máy dầu,140 triệu
23/09/2025,Hyundai Kona 2.0 AT Tiêu chuẩn 2019,2019,Trong nước,Tân An - Long An,,80.000 km,Số tự động,Xe cũ,Máy xăng,440 triệu
14/10/2025,Hyundai Accent 1.4 AT 2022,2022,Trong nước,Thanh Xuân - Hà Nội,Sedan,48.000 km,Số tự động,Xe cũ,Máy xăng,415 triệu
09/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2021,2021,Nhập khẩu,Thanh Xuân - Hà Nội,Bán tải,90.000 km,Số tự động,Xe cũ,Máy dầu,535 triệu
05/10/2025,Mazda CX-8 Premium 2023,2023,Trong nước,Thanh Xuân - Hà Nội,SUV,54.000 km,Số tự động,Xe cũ,Máy xăng,890 triệu
29/09/2025,Hyundai Accent 1.4 AT Đặc biệt 2021,2021,Trong nước,Thanh Xuân - Hà Nội,Sedan,44.000 km,Số tự động,Xe cũ,Máy xăng,425 triệu
14/10/2025,Toyota Land Cruiser Prado GX 2017,2017,Nhập khẩu,Chí Linh - Hải Dương,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 350 triệu
14/10/2025,Hyundai Santa Fe 2.4L Xăng Cao cấp 2016,2016,Trong nước,Chí Linh - Hải Dương,SUV,102.000 km,Số tự động,Xe cũ,Máy xăng,555 triệu
18/10/2025,Suzuki Ertiga 1.5L Sport AT 2021,2021,Trong nước,Dĩ An - Bình Dương,MPV,52.000 km,Số tự động,Xe cũ,Máy xăng,419 triệu
13/10/2025,Toyota Zace 2003,2003,Nhập khẩu,Tp.HCM,SUV,,Số sàn,Xe cũ,Máy xăng,155 triệu
10/10/2025,VinFast VF 3 2024,2024,Trong nước,Cầu Giấy - Hà Nội,SUV,10.000 km,Số tự động,Xe cũ,Điện,239 triệu
14/10/2025,Mitsubishi Outlander 2.4 CVT Premium 2018,2018,Nhập khẩu,Kim Thành - Hải Dương,SUV,106.000 km,Số tự động,Xe cũ,Máy xăng,540 triệu
15/10/2025,Ford Everest Titanium 2.0 AT 4x2 2023,2023,Nhập khẩu,Cầu Giấy - Hà Nội,SUV,29.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 195 triệu
10/10/2025,Honda CR-V 1.5 G 2019,2019,Nhập khẩu,Bắc Ninh,SUV,94.000 km,Số tự động,Xe cũ,Máy xăng,720 triệu
10/10/2025,Mitsubishi Triton Athlete 4x2 AT 2018,2018,Nhập khẩu,Bắc Giang,Bán tải,6.900 km,Số tự động,Xe cũ,Máy dầu,430 triệu
09/10/2025,Ford Ranger Wildtrak 2.0L 4x2 AT 2018,2018,Nhập khẩu,Bình Dương,Bán tải,60.000 km,Số tự động,Xe cũ,Máy dầu,535 triệu
08/10/2025,Mercedes-Benz GLC 250 2025,2025,Nhập khẩu,Quận 7 - Tp.HCM,SUV,1.000 km,Số tự động,Xe cũ,Máy xăng,999 triệu
25/09/2025,Mitsubishi Xpander 1.5 AT  2023,2023,Nhập khẩu,Dĩ An - Bình Dương,MPV,36.000 km,Số tự động,Xe cũ,Máy xăng,499 triệu
18/10/2025,Hyundai Santa Fe 2.2 Dầu Cao cấp 2023,2023,Trong nước,Kiến An - Hải Phòng,SUV,44.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 190 triệu
10/10/2025,Kia Sorento 2.2 DAT Premium 2020,2020,Trong nước,Thủ Đức - Tp.HCM,SUV,50.000 km,Số tự động,Xe cũ,Máy dầu,799 triệu
11/10/2025,Kia Sorento 2.2D Premium AWD 2022,2022,Trong nước,Cầu Giấy - Hà Nội,SUV,43.000 km,Số tự động,Xe cũ,Máy dầu,968 triệu
09/10/2025,Ford Ranger 2023,2023,Trong nước,Tp.HCM,Bán tải,5.200 km,Số tự động,Xe cũ,Máy dầu,685 triệu
11/10/2025,Toyota Veloz Cross CVT Top 2022,2022,Nhập khẩu,Lào Cai,MPV,40.000 km,Số tự động,Xe cũ,Máy xăng,470 triệu
08/10/2025,Kia Seltos 1.4 Luxury 2020,2020,Trong nước,Quận 12 - Tp.HCM,SUV,54.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
14/10/2025,Hyundai Accent 1.5 AT cao cấp 2024,2024,Trong nước,Cầu Giấy - Hà Nội,Sedan,4.000 km,Số tự động,Xe cũ,Máy xăng,520 triệu
14/10/2025,Mazda 3 1.5 Hatchback 2020,2020,Trong nước,Tp.HCM,Hatchback,74.000 km,Số tự động,Xe cũ,Máy xăng,520 triệu
13/10/2025,Peugeot 3008 GT 2022,2022,Trong nước,Tp.HCM,SUV,34.000 km,Số tự động,Xe cũ,Máy xăng,850 triệu
15/10/2025,VinFast LUX A2.0 Nâng cao 2021,2021,Trong nước,Cầu Giấy - Hà Nội,Sedan,79.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
12/10/2025,Ford Ranger XLS 2.2 4x2 MT 2015,2015,Nhập khẩu,Hoàng Mai - Hà Nội,Bán tải,198.000 km,Số sàn,Xe cũ,Máy dầu,335 triệu
08/10/2025,BMW 320i 2015,2015,Nhập khẩu,Tp.HCM,Sedan,84.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
15/10/2025,Toyota Fortuner 2.4G 4x2 AT  2019,2019,Trong nước,Tp.HCM,SUV,50.000 km,Số tự động,Xe cũ,Máy xăng,840 triệu
10/10/2025,Hyundai Venue 1.0 T-GDi Đặc biệt  2024,2024,Nhập khẩu,Hà Nam,SUV,30.000 km,Số tự động,Xe cũ,Máy xăng,500 triệu
06/10/2025,Mazda CX-5 2.0 Luxury 2024,2024,Trong nước,Cầu Giấy - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
02/10/2025,Mercedes-Benz S400 3.0 V6 2014,2014,Nhập khẩu,Cầu Giấy - Hà Nội,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 120 triệu
11/10/2025,Nissan X trail 2.0 SL 2WD Premium 2017,2017,Trong nước,Cầu Giấy - Hà Nội,SUV,100.000 km,Số tự động,Xe cũ,Máy xăng,485 triệu
15/10/2025,Chevrolet Cruze LTZ 2016,2016,Nhập khẩu,Hà Nội,Sedan,12.375 km,Số tự động,Xe cũ,Máy xăng,230 triệu
10/10/2025,Peugeot 3008 Active 2018,2018,Nhập khẩu,Tp.HCM,SUV,95.000 km,Số tự động,Xe cũ,Máy xăng,575 triệu
10/10/2025,Chevrolet Aveo LT 1.5 MT 2015,2015,Nhập khẩu,Bến Tre,Sedan,140 km,Số tự động,Xe cũ,Máy xăng,135 triệu
06/10/2025,Mercedes-Benz S450L Luxury 2021,2021,Nhập khẩu,Gò Vấp - Tp.HCM,Sedan,39.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 450 triệu
26/09/2025,Mercedes-Benz C200 2011,2011,Nhập khẩu,Chí Linh - Hải Dương,Sedan,116.780 km,Số tự động,Xe cũ,Máy xăng,275 triệu
25/09/2025,Kia Sonet 1.5 Luxury 2025,2025,Trong nước,Dĩ An - Bình Dương,,4.700 km,Số tự động,Xe cũ,Máy xăng,559 triệu
14/10/2025,Lexus RX 350 Luxury 2024,2024,Nhập khẩu,Gò Vấp - Tp.HCM,SUV,3.900 km,Số tự động,Xe cũ,Máy xăng,4 tỉ 290 triệu
14/10/2025,Kia Morning LX 1.25 MT 2017,2017,Trong nước,Đồng Nai,Hatchback,114.000 km,Số sàn,Xe cũ,Máy xăng,200 triệu
11/10/2025,VinFast VF8 Plus 2023,2023,Trong nước,Tân An - Long An,SUV,48.000 km,Số tự động,Xe cũ,Điện,789 triệu
09/10/2025,Honda Brio G 2019,2019,Trong nước,Hà Nội,Hatchback,580.000 km,Số tự động,Xe cũ,Máy xăng,320 triệu
10/10/2025,Mazda CX-5 2.0 Deluxe 2022,2022,Trong nước,Cầu Giấy - Hà Nội,SUV,40.000 km,Số tự động,Xe cũ,Máy xăng,666 triệu
14/10/2025,Mercedes-Benz S450L 2021,2021,Nhập khẩu,Gò Vấp - Tp.HCM,Sedan,39.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 400 triệu
09/10/2025,Toyota Yaris 1.3G 2015,2015,Nhập khẩu,Bà Rịa Vũng Tàu,Hatchback,120.000 km,Số tự động,Xe cũ,Máy xăng,345 triệu
13/10/2025,Kia Sedona 3.3 Platinum G 2019,2019,Trong nước,Thủ Đức - Tp.HCM,MPV,60.000 km,Số tự động,Xe cũ,Máy xăng,698 triệu
11/10/2025,VinFast LUX A2.0 Tiêu chuẩn 2022,2022,Trong nước,Tân An - Long An,Sedan,75.000 km,Số tự động,Xe cũ,Máy xăng,539 triệu
30/09/2025,Ford Ranger Wildtrak 2.0l bi-turbo 4x4 10 AT 2024,2024,Trong nước,Thủ Đức - Tp.HCM,Bán tải,20.000 km,Số tự động,Xe cũ,Máy dầu,879 triệu
14/10/2025,Lexus ES 250 2021,2021,Nhập khẩu,Gò Vấp - Tp.HCM,Sedan,29.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 980 triệu
18/10/2025,Mazda CX-30 2.0L Premium 2022,2022,Nhập khẩu,Dĩ An - Bình Dương,Crossover,45.000 km,Số tự động,Xe cũ,Máy xăng,649 triệu
14/10/2025,Mitsubishi Outlander 2.0 CVT 2022,2022,Trong nước,Cầu Giấy - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,675 triệu
15/10/2025,Hyundai Accent 1.4 AT 2021,2021,Trong nước,Cầu Giấy - Hà Nội,Sedan,44.000 km,Số tự động,Xe cũ,Máy xăng,425 triệu
12/10/2025,Hyundai Grand i10 Hatchback 1.2 MT Base 2019,2019,Nhập khẩu,Tp.HCM,Hatchback,390.000 km,Số sàn,Xe cũ,Máy xăng,185 triệu
10/10/2025,Kia Morning Luxury 2019,2019,Trong nước,Quận 11 - Tp.HCM,Hatchback,15 km,Số tự động,Xe cũ,Máy xăng,275 triệu
22/09/2025,Peugeot 5008 Allure 2022,2022,Nhập khẩu,Thủ Đức - Tp.HCM,SUV,30.000 km,Số tự động,Xe cũ,Máy xăng,819 triệu
11/10/2025,MG 5 1.5L STD 2023,2023,Trong nước,Đồng Nai,Sedan,34.000 km,Số tự động,Xe cũ,Máy xăng,400 triệu
04/10/2025,Toyota Fortuner 2.4 MT 4x2 2019,2019,Trong nước,Thủ Đức - Tp.HCM,SUV,20.000 km,Số sàn,Xe cũ,Máy dầu,775 triệu
14/10/2025,Toyota Corolla Altis 1.8G CVT 2021,2021,Trong nước,Kiên Giang,Sedan,45.000 km,Số tự động,Xe cũ,Máy xăng,635 triệu
12/10/2025,Mazda 2 Luxury 2023,2023,Nhập khẩu,Bình Dương,Sedan,23.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
11/10/2025,VinFast VF6 Plus 2025,2025,Trong nước,Tân An - Long An,Crossover,20.000 km,Số tự động,Xe cũ,Điện,660 triệu
13/10/2025,Kia Morning SX 1.1 AT Sport 2010,2010,Nhập khẩu,Bắc Giang,Hatchback,140.000 km,Số tự động,Xe cũ,Máy xăng,150 triệu
14/10/2025,Kia Carens S 2.0 MT 2015,2015,Trong nước,Chí Linh - Hải Dương,MPV,120.000 km,Số sàn,Xe cũ,Máy xăng,220 triệu
14/10/2025,Mitsubishi Xpander 1.5 AT  2019,2019,Trong nước,Chí Linh - Hải Dương,,75.000 km,Số tự động,Xe cũ,Máy xăng,435 triệu
06/10/2025,Mercedes-Benz S450L Luxury 2021,2021,Nhập khẩu,Gò Vấp - Tp.HCM,Sedan,39.000 km,Số tự động,Xe cũ,Máy xăng,2 tỉ 450 triệu
25/09/2025,Kia Soluto AT Deluxe 2020,2020,Trong nước,Dĩ An - Bình Dương,Sedan,26.000 km,Số tự động,Xe cũ,Máy xăng,319 triệu
10/10/2025,Volkswagen New Beetle 2009,2009,Trong nước,Thủ Đức - Tp.HCM,Convertible,60.000 km,Số tự động,Xe cũ,Máy xăng,479 triệu
14/10/2025,Kia Rondo 1.7 DAT 2016,2016,Trong nước,Chí Linh - Hải Dương,MPV,110.000 km,Số tự động,Xe cũ,Máy dầu,399 triệu
